,Date,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Mega ball,Megaplier
119,Tuesday July 14th 1998,5,7,15,33,48,13,
120,Friday July 17th 1998,13,24,35,39,44,24,
121,Tuesday July 21st 1998,3,7,8,11,20,25,
122,Friday July 24th 1998,7,15,18,31,35,19,
123,Tuesday July 28th 1998,5,10,14,18,49,25,
124,Friday July 31st 1998,3,10,23,33,46,8,
125,Tuesday August 4th 1998,3,4,6,26,40,10,
126,Friday August 7th 1998,7,11,32,44,46,19,
127,Tuesday August 11th 1998,7,31,35,44,48,18,
128,Friday August 14th 1998,6,10,14,17,22,17,
129,Tuesday August 18th 1998,9,10,11,12,48,18,
130,Friday August 21st 1998,6,16,19,28,48,11,
131,Tuesday August 25th 1998,2,27,33,37,44,21,
132,Friday August 28th 1998,1,21,28,43,45,17,
133,Tuesday September 1st 1998,9,23,24,37,44,24,
134,Friday September 4th 1998,11,19,25,34,47,10,
135,Tuesday September 8th 1998,1,14,24,25,26,24,
136,Friday September 11th 1998,21,31,34,35,43,4,
137,Tuesday September 15th 1998,11,26,30,37,38,20,
138,Friday September 18th 1998,15,22,23,40,50,12,
139,Tuesday September 22nd 1998,1,37,43,44,45,24,
140,Friday September 25th 1998,20,23,36,46,50,9,
141,Tuesday September 29th 1998,1,8,18,27,38,24,
142,Friday October 2nd 1998,2,6,8,26,39,8,
143,Tuesday October 6th 1998,1,3,13,15,22,18,
144,Friday October 9th 1998,1,23,30,47,50,2,
145,Tuesday October 13th 1998,12,24,30,43,44,1,
146,Friday October 16th 1998,6,7,14,18,33,8,
147,Tuesday October 20th 1998,6,9,10,22,28,19,
148,Friday October 23rd 1998,13,20,27,28,33,20,
149,Tuesday October 27th 1998,12,13,17,25,43,22,
150,Friday October 30th 1998,12,16,22,38,46,20,
151,Tuesday November 3rd 1998,1,9,32,35,50,1,
152,Friday November 6th 1998,7,21,29,46,48,16,
153,Tuesday November 10th 1998,3,10,17,23,35,23,
154,Friday November 13th 1998,5,7,18,26,45,15,
155,Tuesday November 17th 1998,28,36,38,43,50,10,
156,Friday November 20th 1998,20,40,48,49,50,17,
157,Tuesday November 24th 1998,14,15,17,33,43,17,
158,Friday November 27th 1998,4,8,20,41,44,6,
159,Tuesday December 1st 1998,16,21,30,32,44,15,
160,Friday December 4th 1998,7,16,28,30,43,4,
161,Tuesday December 8th 1998,1,11,25,28,35,1,
162,Friday December 11th 1998,11,13,42,44,50,24,
163,Tuesday December 15th 1998,7,18,36,38,41,24,
164,Friday December 18th 1998,10,21,25,34,48,24,
165,Tuesday December 22nd 1998,17,21,33,42,44,9,
166,Friday December 25th 1998,6,8,17,21,31,10,
167,Tuesday December 29th 1998,3,5,7,28,35,10,
168,Friday January 1st 1999,11,19,28,43,48,5,
169,Tuesday January 5th 1999,4,31,32,34,43,19,
170,Friday January 8th 1999,5,21,23,26,37,3,
171,Tuesday January 12th 1999,5,7,9,20,46,2,
172,Friday January 15th 1999,17,18,28,42,48,8,
173,Tuesday January 19th 1999,21,25,26,35,49,12,
174,Friday January 22nd 1999,7,16,20,23,36,22,
175,Tuesday January 26th 1999,5,8,10,44,50,33,
176,Friday January 29th 1999,4,9,12,32,47,27,
177,Tuesday February 2nd 1999,6,14,23,31,33,13,
178,Friday February 5th 1999,2,8,14,21,27,33,
179,Tuesday February 9th 1999,3,6,14,21,24,9,
180,Friday February 12th 1999,8,11,16,27,34,8,
181,Tuesday February 16th 1999,3,10,13,36,49,14,
182,Friday February 19th 1999,1,7,16,36,40,10,
183,Tuesday February 23rd 1999,3,13,27,30,44,27,
184,Friday February 26th 1999,6,26,31,44,48,1,
185,Tuesday March 2nd 1999,3,31,35,42,46,34,
186,Friday March 5th 1999,3,20,26,29,36,16,
187,Tuesday March 9th 1999,3,4,10,22,48,21,
188,Friday March 12th 1999,22,32,37,38,41,3,
189,Tuesday March 16th 1999,6,11,19,33,40,19,
190,Friday March 19th 1999,17,23,37,46,49,28,
191,Tuesday March 23rd 1999,16,18,29,44,47,32,
192,Friday March 26th 1999,14,15,20,47,50,35,
193,Tuesday March 30th 1999,4,5,27,33,41,9,
